시설명,userid,평점,코멘트
거제식물원,tdgbwiltw,2,청결한 환경이 아니었습니다.
함양군 공영주차장,xelaiy5dh,4,아이들과 함께 즐거운 시간을 보냈어요.
함안 체육관,nelddvv8o,1,친구들에게 추천하기 어려운 곳입니다.
고성 통일전망대,xsqhvvmng,1,조금 아쉬운 부분이 있었어요.
수원시 화성열차,aoziflmey,5,시설 이용이 매우 편리하고 좋았습니다.
군 복지시설_마트,mchbddtub,2,주변 자연 경관이 좋지 않았습니다.
뜰안채안경,atqmj752u,2,편의시설이 부족했습니다.
평택시 공영주차장,yjlxm47bz,2,시설의 위치가 불편해서 접근성이 떨어졌습니다.
함안 체육관,gdmnaqbv5,1,활동이 다양하지 않았습니다.
예이재한방병원,ktejbcpfg,2,활동이 다양하지 않았습니다.
지리산휴양림,amrgi8rry,1,시설 사용이 불편했습니다.
대한안과의사회 진주 이성수안과 ,jjowhr0xu,3,시설 관리가 잘 되어 있었습니다.
명주병원,utgage9ls,5,다양한 활동을 즐길 수 있어서 좋았어요.
대한안과의사회 누네안과병원 ,tdoelbesq,3,추천합니다!
강원효장례문화원,rzyuq86wr,1,시설 이용이 불편했고 안내가 부족했습니다.
김포시 금빛수로 수상레저시설 및 썰매장,phgvn26yj,3,시설이 매우 잘 관리되고 있었습니다.
오륜동 풋살장,dxgtla24j,2,서비스와 시설 모두 개선이 필요합니다.
오륜동 인조 잔디구장,nikcjg9wf,5,시설의 위치가 좋아 접근성이 뛰어났습니다.
상주성모병원,tmrccvn15,5,가격 대비 만족도가 높습니다.
유어스호텔,wdyuy4db3,2,음식이 별로 맛있지 않았고 메뉴가 부족했습니다.
양주시 에코스포츠센터,bnyymkf2r,4,시설의 청결 상태가 매우 좋았습니다.
시흥시 체육시설,dimyygwvg,4,아이들과 함께 즐거운 시간을 보냈어요.
대구실내빙상장,psrjdb0lb,3,시설이 현대적이고 매우 잘 유지되고 있습니다.
안양샘병원,alztn456g,2,편안하고 조용한 분위기가 아니었습니다.
글라스스토리 제주점,kruhz2j78,3,음식이 맛있었고 다양한 메뉴가 제공되었습니다.
남해군 보건소,qiuone16k,2,전망대에서 보는 풍경이 실망스러웠습니다.
창녕국민체육센터,coaufrpj2,3,다양한 활동과 프로그램이 있어 좋았습니다.
충남 서산의료원,pvvucaolj,4,시설 사용이 매우 편리했습니다.
의정부환한미소치과의원,dpbhxs8pl,4,자연과 함께하는 시간이 힐링이 되었어요.
곡성군 장사시설,geivli25b,4,다양한 활동을 즐길 수 있어서 좋았어요.
광명새움병원,uigwtrm4a,3,시설의 위치가 좋아 접근성이 뛰어났습니다.
한림대학교 춘천성심병원,xexvi8hiq,5,가성비가 좋습니다.
동두천시 주민자치센터,kzashy6vn,5,서비스가 정말 좋았어요.
일동용암천,xyysgnysn,4,시설의 위치가 좋아 접근성이 뛰어났습니다.
에스안과 수원점,bzdrcqqsw,3,환경이 매우 청결하고 좋았습니다.
온고을치과의원,pwbmkwap8,2,편안하고 조용한 분위기가 아니었습니다.
울산시 체육시설,phfyvtktw,2,활동이 다양하지 않았습니다.
국립부산국악원,tejke83lv,5,서비스와 시설 모두 훌륭합니다.
금호콘도 설악 ,uwnal3krp,3,다양한 시설과 편의시설이 있어 매우 편리했습니다.
비치안의원,wxtajux2v,4,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
서울특별시동부병원,qrhwyb2hw,5,친절한 직원들이 인상적이었습니다.
통고산휴양림,qxzph77uy,1,직원들이 조금 더 친절했으면 좋겠습니다.
휘트니스H,cdgoawl38,5,친구들에게 추천할 만한 좋은 곳입니다.
유명산휴양림,awvaxpjmt,1,시설이 조금 낡았지만 여전히 좋았습니다.
합천군 공영주차장,beeoh43wz,3,가족 여행에 추천합니다.
사천시 보건소,fnrai8h0i,3,다음에 또 오고 싶어요.
철원병원,txpqo3rzo,5,주변 경관이 아름답습니다.
대한안과의사회 에스안과 ,suoauz3dk,5,편리한 위치에 있어 접근하기 쉬웠습니다.
울산시 체육시설,qjiyhm6vp,4,여기서 많은 추억을 만들었어요.
효성병원 장례식장,jdbdbfj3d,1,아이들과 함께하기에는 불편한 점이 많았습니다.
목포시 공영주차장,luhiy29w4,2,다양한 활동과 프로그램이 부족했습니다.
구리시체육관,wsynxhq1j,2,전반적으로 만족스럽지 않았습니다.
의정부을지대학교병원,nkjwsomjv,1,시설이 조금 낡았지만 여전히 좋았습니다.
대한안과의사회 소중한빛안과 ,rzcnl2cf0,3,아이들이 즐겁게 놀 수 있는 다양한 시설이 마련되어 있습니다.
인제군 주차장 시설,gijahm5uf,4,청결한 환경과 좋은 서비스에 만족했습니다.
팀바디매스,pqqaa64p8,3,서비스와 시설 모두 훌륭합니다.
밝은성모안과,aqabc8ung,3,여기서 많은 추억을 만들었어요.
건국대학교 병원,vlifq1m3n,5,친구들에게 추천할 만한 곳입니다.
무주곤충박물관,etkvsw33k,1,전망대에서 보는 풍경이 실망스러웠습니다.
안성시 체육시설,excors8ud,3,주변 경관이 아름답습니다.
삼성힐정형외과,xxxop8m5y,1,다양한 시설과 편의시설이 부족했습니다.
밝은미소안과,iylajpsn4,4,한 번쯤은 꼭 가볼 만한 곳입니다.
의왕시 장사시설,dnwcebjda,1,서비스와 시설 모두 개선이 필요합니다.
좋은생각사람들,enqsb5rpn,5,시설 이용이 편리하고 안내도 잘 되어 있습니다.
보성군국민체육센터,aycbte3hi,3,시설 사용이 매우 편리했습니다.
강동병원,dtwqycbjd,3,주차 공간이 넉넉해서 편리했어요.
한국민속촌,rpfda8oyh,3,매우 만족합니다.
이천시 보건소,gbvihkei0,3,가격 대비 만족도가 높습니다.
하동군 금오산어드벤처 레포츠 시설물,tmagio4bx,3,서비스와 시설 모두 훌륭합니다.
웰리힐리파크,qycxg1hbn,2,서비스와 시설 모두 개선이 필요합니다.
연세대학교원주세브란스병원,yqebu4btn,1,자연 경관이 좋지 않았습니다.
동두천시 공영주차장,ewumkpu4e,2,시설 내 모든 것이 정비되지 않았습니다.
곡성군 자연휴식지,nbiujggpo,1,가격 대비 품질이 좋지 않았습니다.
메종글래드 제주,dpttr6dqu,4,시설이 현대적이고 매우 잘 유지되고 있습니다.
머슬핏휘트니스,mdlnl0lxe,4,다시 방문하고 싶어요.
태백시 주차장,zpfgg2n7w,1,시설이 현대적이지 않고 매우 낡았습니다.
하동군 구재봉 자연휴양림,kbelmh1kh,3,여기서 많은 추억을 만들었어요.
중랑구 체육시설,leggneefz,1,시설이 매우 실망스러웠습니다.
천지연폭포,nacac79qr,3,자연 경관이 매우 아름답습니다.
김포우리병원,uiqwieyi5,1,주변 자연 경관이 좋지 않았습니다.
강동구 평생학습관,zopqsnpfp,1,시설 관리가 잘 안되고 있었습니다.
